part_number,name_en,category,years,engines,confidence,audit_status,occurrence_count,source_count,first_evidence
64837-06J00,"Cover-Splash,Hoodledge",general,"1991,1992,1993",,77,مدقق آليًا,6,4,"64101 6410132J00 HOODLEDGE ASSY-LH HOODLEDGE ﻣﺠﻤﻮﻋﺔLH 01 K +HK +W +HW +HV 10.1991 - 08.1993 64837M 6483706J00 COVER-SPLASH,HOODLEDGE FRONT LH ﻏﻄﺎءSPLASH,HOODLEDGE أﻣﺎﻣﻲ LH"
64851-22J00,Bracket-Control Valve,engine,"1988,1989,1990,1991","RB30S,TB42S",85,مدقق آليًا بدرجة عالية,4,4,2S.S.(TB42S+RB30S) +2S.B.(TB42S+RB30S) 07.1989 - 10.1991 64821 6485122J00 BRACKET-CONTROL VALVE ﺣﺎﻣﻞ 01
64854-01J00,Bracket Assy-Ignition Coil,body,"1988,1989,1990,1991,1992,1993",TB42S,97,مدقق آليًا بدرجة عالية,10,7,"01 K +HK +W +HW +HV +T +T.A 10.1991 - 08.1992 083136165C 083136165C ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 64882 6485401J00 BRACKET ASSY-IGNITION COIL ﺣﺎﻣﻞ ﻣﺠﻤﻮﻋﺔIGNITION COIL 01 TB42S 10.1991 - 08.1993 64172 6418836J00 GUSSET-HOODLEDGE,FRONT"
64864-20J00,Bracket-Vacuum Tank,engine,"1991,1992,1993",TB42S,77,مدقق آليًا,6,4,01 K.TB42S +W.TB42S +HW.TB42S +HV.TB42S (A) 64863 6486420J00 BRACKET-VACUUM TANK ﺣﺎﻣﻞVACUUM TANK 01 *(K+W+HW).TB42S.(DX+SGL)F/RR DIFF LOCK F/4WHL DISC 23772Y 2377206J00 BRACKET-VACUUM VALVE
64891-W5000,Plug-Body Sill,general,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997",,95,مدقق آليًا بدرجة عالية,34,12,W.SGL 10.1991 - 08.1993 76410E 64891W5000 PLUG-BODY SILL SILL 10
64895-W7700,Cover-Hole,body,"1988,1989,1990,1991,1992,1993",,92,مدقق آليًا بدرجة عالية,10,7,74899 7489541G00 BRACKET-ROPE HOOK ﺣﺎﻣﻞROPE HOOK 04 K +HK +W +HW +HV 10.1991 - 08.1993 74981X 64895W7700 COVER-HOLE ﻏﻄﺎءHOLE 02 K +HK +W +HW +HV 10.1991 - 08.1993 74649 7496532J60 PLATE-TRANSMISSION HOLE
65100-01J30,Hood,general,"1988,1989,1990,1991",,75,مدقق آليًا,4,4,Specifications ﺍﻟﻤﻮﺍﺻﻔﺎﺕ 65100 6510001J30 HOOD ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 01
65400-01J00,"Hinge Assy-Hood,Rh",general,"1988,1989,1990,1991",,80,مدقق آليًا,4,4,"W 10.1994 - ... 65400 6540001J00 HINGE ASSY-HOOD,RH HOOD,RH 01"
65400-51N00,"Hinge Assy-Hood,Rh",general,"1988,1989,1990,1991",,80,مدقق آليًا,4,4,"K.2P +K.5P +W.5P +W.6P +HW.5P 08.1987 - 10.1991 65400 6540051N00 HINGE ASSY-HOOD,RH HOOD,RH 01"
65401-01J00,"Hinge Assy-Hood,Lh",general,"1988,1989,1990,1991",,80,مدقق آليًا,4,4,"K.2P +K.5P +W.5P +W.6P +HW.5P 08.1987 - 10.1991 65401 6540101J00 HINGE ASSY-HOOD,LH HOOD,LH 01"
65401-51N00,"Hinge Assy-Hood,Lh",general,"1988,1989,1990,1991",,80,مدقق آليًا,4,4,"K.2P +K.5P +W.5P +W.6P +HW.5P 08.1987 - 10.1991 65401 6540151N00 HINGE ASSY-HOOD,LH HOOD,LH 01"
65512-P7100,Grommet-Hood Support Rod,general,"1988,1989,1990,1991",,80,مدقق آليًا,4,4,W 08.1995 - ... 65512 65512P7100 GROMMET-HOOD SUPPORT ROD ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 01
65512-R3000,Grommet-Hood Support Rod,general,"1988,1989,1990,1991",,80,مدقق آليًا,4,4,K.2P +K.5P +W.5P +W.6P +HW.5P 11.1987 - 10.1991 65512 65512R3000 GROMMET-HOOD SUPPORT ROD ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 01
65601-C6800,Male Assy-Hood Lock,general,"1988,1989,1990,1991",,75,مدقق آليًا,4,4,0831361698 ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 65601 65601C6800 MALE ASSY-HOOD LOCK HOOD LOCK 01
65620-01J00,Cable Assy-Hood Lock Control,general,"1988,1989,1990,1991",,80,مدقق آليًا,4,4,K.2P +K.5P +W.5P +W.6P +HW.5P 08.1987 - 10.1991 65620 6562001J00 CABLE ASSY-HOOD LOCK CONTROL HOOD LOCK CONTROL 01
65620-51N00,Cable Assy-Hood Lock Control,general,"1988,1989,1990,1991",,80,مدقق آليًا,4,4,K.2P +K.5P +W.5P +W.6P +HW.5P 08.1987 - 10.1991 65620 6562051N00 CABLE ASSY-HOOD LOCK CONTROL HOOD LOCK CONTROL 01
65624-V0100,Clip,suspension,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997",,95,مدقق آليًا بدرجة عالية,64,12,W +HW +HV 10.1991 - 07.1995 84440C 65624V0100 CLIP ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 08
65625-01J00,Clip,general,"1988,1989,1990,1991",,80,مدقق آليًا,4,4,K.2P +K.5P +W.5P +W.6P +HW.5P 08.1987 - 10.1991 65620E 6562501J00 CLIP ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 01
65722-01E00,Clamp-Hood Rod,electrical,"1988,1989,1990,1991",,80,مدقق آليًا,4,4,K.2P +K.5P +W.5P +W.6P +HW.5P 08.1987 - 10.1991 65722 6572201E00 CLAMP-HOOD ROD ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 01
65771-01J00,Rod-Hood Support,general,"1988,1989,1990,1991",,80,مدقق آليًا,4,4,K.2P +K.5P +W.5P +W.6P +HW.5P 08.1987 - 10.1991 65710 6577101J00 ROD-HOOD SUPPORT ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 01
65810-01J00,Seal-Hood,cooling,"1991,1992,1993",,72,مدقق آليًا,6,4,"65850G 0155300401 CLIP ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 09 *K +*HK +*W +*HW +*HV +*T +*T.A F/AIR CON-STD TYPE 65850 6581001J00 SEAL-HOOD ﺻﻮﻓﺔ/ﻣﺎﻧﻊ ﺗسربHOOD 01 *K +*HK +*W +*HW +*HV +*T +*T.A F/AIR CON-STD TYPE 62537 6254201J00 RUBBER-SEALING,RADIATOR"
65846-30F00,Clip-Insulator,general,"1988,1989,1990,1991",,80,مدقق آليًا,4,4,K.2P +K.5P +W.5P +W.6P +HW.5P 08.1987 - 10.1991 65820E 6584630F00 CLIP-INSULATOR ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 18
65846-40F00,Clip-Insulator,general,"1988,1989,1990,1991",,80,مدقق آليًا,4,4,K +W 10.1991 - 10.1994 65820E 6584640F00 CLIP-INSULATOR ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 18
65888-32J00,Inverter Assy,general,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997",,95,مدقق آليًا بدرجة عالية,22,12,(K+W+HW+T).(GL+SGL) 10.1991 - 08.1993 27810 6588832J00 INVERTER ASSY ﻣﺠﻤﻮﻋﺔ 01
65892-32J00,Ornament-Hood,cooling,"1991,1992,1993",,77,مدقق آليًا,6,4,اﻟﺘﻄﺒﻴﻖ Specifications اﻟﻤﻮاﺻﻔﺎت 65851 6589232J00 ORNAMENT-HOOD ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 01 (K+W+HW).(GL+SGL) 10.1991 - 08.1993 62310N 6289032J00 EMBLEM-RADIATOR GRILLE
66100-01J30,Box Assy-Air,general,"1988,1989,1990,1991",RB30S,85,مدقق آليًا بدرجة عالية,4,4,K.5P.RB30S +W.5P.RB30S +W.6P.RB30S 08.1987 - ... 66110 6610001J30 BOX ASSY-AIR AIR 01
66100-01J35,Box Assy-Air,general,"1988,1989,1990,1991",,80,مدقق آليًا,4,4,K.2P +K.5P +W.5P +W.6P +HW.5P 08.1987 - 08.1989 66110 6610001J35 BOX ASSY-AIR AIR 01
66100-0Y700,Box Assy-Air,general,"1988,1989,1990,1991",,80,مدقق آليًا,4,4,K.2P +K.5P +W.5P +W.6P +HW.5P 08.1989 - 10.1991 66110 661000Y700 BOX ASSY-AIR AIR 01
66100-32J00,Box Assy-Air,general,"1988,1989,1990,1991",,80,مدقق آليًا,4,4,W 07.1995 - ... 66110 6610032J00 BOX ASSY-AIR AIR 01
66100-34J30,Box Assy-Air,general,"1991,1992,1993",,77,مدقق آليًا,6,4,66810E 6686001W01 CLIP ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 07 K +HK +W +HW +HV +T +T.A 10.1991 - 08.1993 66110 6610034J30 BOX ASSY-AIR BOX ﻣﺠﻤﻮﻋﺔ-ﻫﻮاء 01 K +HK +W +HW +HV +T +T.A 10.1991 - 08.1993 66300H 0165801131 PLUG
66812-01J00,Grille-Cowl Top,body,"1988,1989,1990,1991",,80,مدقق آليًا,4,4,K.2P +K.5P +W.5P +W.6P +HW.5P 11.1987 - 10.1991 66801 6681201J00 GRILLE-COWL TOP ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 01
66812-34J00,Grille-Cowl Top,body,"1991,1992,1993",,77,مدقق آليًا,6,4,"اﻟﺘﻄﺒﻴﻖ Specifications اﻟﻤﻮاﺻﻔﺎت 66801 6681234J00 GRILLE-COWL TOP ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 01 K +HK +W +HW +HV +T +T.A 10.1991 - 08.1993 66810 6683001J10 RUBBER-SEALING,COWL"
66820-01J00,Cap-Screw,body,"1988,1989,1990,1991,1992,1993",,92,مدقق آليًا بدرجة عالية,10,7,66820 6682001J05 CAP-COWL TOP GRILLE ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 04 K +HK +W +HW +HV +T +T.A 10.1991 - 08.1993 66801B 6682001J00 CAP-SCREW ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 01 K +HK +W +HW +HV +T +T.A 10.1991 - 08.1993
66820-01J05,Cap-Cowl Top Grille,body,"1988,1989,1990,1991,1992,1993",,92,مدقق آليًا بدرجة عالية,10,7,اﻟﺘﻄﺒﻴﻖ Specifications اﻟﻤﻮاﺻﻔﺎت 66820 6682001J05 CAP-COWL TOP GRILLE ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 04 K +HK +W +HW +HV +T +T.A 10.1991 - 08.1993 66801B 6682001J00 CAP-SCREW
66820-C6000,Cap-Cowl Top Grille,body,"1988,1989,1990,1991",,80,مدقق آليًا,4,4,K.2P +K.5P +W.5P +W.6P +HW.5P 01.1989 - 10.1991 66820 66820C6000 CAP-COWL TOP GRILLE ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 04
66830-01J00,"Rubber-Sealing,Cowl Top,Front",general,"1988,1989,1990,1991",,80,مدقق آليًا,4,4,"K.2P +K.5P +W.5P +W.6P +HW.5P 08.1987 - 10.1991 66810 6683001J00 RUBBER-SEALING,COWL TOP,FRONT ﺃﻣﺎﻣﻲ 01"
66830-01J10,"Rubber-Sealing,Cowl",body,"1988,1989,1990,1991,1992,1993",,92,مدقق آليًا بدرجة عالية,10,7,"66801 6681234J00 GRILLE-COWL TOP ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 01 K +HK +W +HW +HV +T +T.A 10.1991 - 08.1993 66810 6683001J10 RUBBER-SEALING,COWL TOP,FRONT RUBBER-SEALING,COWL TOP,أﻣﺎﻣﻲ 01 K +HK +W +HW +HV 10.1991 - 08.1993"
66832-01J00,Seal-Cowl Top,general,"1988,1989,1990,1991",,75,مدقق آليًا,4,4,Specifications ﺍﻟﻤﻮﺍﺻﻔﺎﺕ 66822 6683201J00 SEAL-COWL TOP ﺻﻮﻓﺔ 01
66860-01W01,Clip,general,"1988,1989,1990,1991,1992,1993",,92,مدقق آليًا بدرجة عالية,10,7,"TOP,FRONT RUBBER-SEALING,COWL TOP,أﻣﺎﻣﻲ 01 K +HK +W +HW +HV 10.1991 - 08.1993 66810E 6686001W01 CLIP ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 07 K +HK +W +HW +HV +T +T.A 10.1991 - 08.1993 66110 6610034J30 BOX ASSY-AIR"
66900-06J00,"Finisher-Dash Side,Rh",general,"1988,1989,1990,1991,1992,1993",,92,مدقق آليًا بدرجة عالية,10,7,"66900 6690006J01 FINISHER-DASH SIDE,RH FINISHER-DASH ﺟﺎﻧﺒﻲRH 01 K +HK +W +HW +HV +T +T.A (K) 66900 6690006J00 FINISHER-DASH SIDE,RH FINISHER-DASH ﺟﺎﻧﺒﻲRH 01 K +HK +W +HW +HV +T +T.A (C) 66900 6690006J02 FINISHER-DASH SIDE,RH"
66900-06J01,"Finisher-Dash Side,Rh",general,"1988,1989,1990,1991,1992,1993",,92,مدقق آليًا بدرجة عالية,10,7,"FINISHER,RH ﺣﺎﻣﻞDASH ﺟﺎﻧﺒﻲFINISHER,RH 01 K +HK +W +HW +HV +T +T.A 10.1991 - 08.1993 66900 6690006J01 FINISHER-DASH SIDE,RH FINISHER-DASH ﺟﺎﻧﺒﻲRH 01 K +HK +W +HW +HV +T +T.A (K) 66900 6690006J00 FINISHER-DASH SIDE,RH"
66900-06J02,"Finisher-Dash Side,Rh",general,"1991,1992,1993",,72,مدقق آليًا,6,4,"66900 6690006J00 FINISHER-DASH SIDE,RH FINISHER-DASH ﺟﺎﻧﺒﻲRH 01 K +HK +W +HW +HV +T +T.A (C) 66900 6690006J02 FINISHER-DASH SIDE,RH FINISHER-DASH ﺟﺎﻧﺒﻲRH 01 K +HK +W +HW +HV +T +T.A (A) 66900E 0155305541 CLIP"
66901-06J10,"Finisher-Dash Side,Lh",general,"1988,1989,1990,1991,1992,1993","TB42S,TD42",97,مدقق آليًا بدرجة عالية,10,7,"66901 6690106J12 FINISHER-DASH SIDE,LH FINISHER-DASH ﺟﺎﻧﺒﻲLH 01 TB42S.MT.F5 +TD42 (A) 66901 6690106J10 FINISHER-DASH SIDE,LH FINISHER-DASH ﺟﺎﻧﺒﻲLH 01 TB42S.MT.F5 +TD42 (C) 66901 6690106J11 FINISHER-DASH SIDE,LH"
66901-06J11,"Finisher-Dash Side,Lh",body,"1988,1989,1990,1991,1992,1993","TB42S,TD42",97,مدقق آليًا بدرجة عالية,10,7,"66901 6690106J10 FINISHER-DASH SIDE,LH FINISHER-DASH ﺟﺎﻧﺒﻲLH 01 TB42S.MT.F5 +TD42 (C) 66901 6690106J11 FINISHER-DASH SIDE,LH FINISHER-DASH ﺟﺎﻧﺒﻲLH 01 TB42S.MT.F5 +TD42 (K) 66993 6699306J00 BRACKET-DASH SIDE"
66901-06J12,"Finisher-Dash Side,Lh",general,"1991,1992,1993","TB42S,TD42",82,مدقق آليًا,6,4,"66990E 62035Q0101 GROMMET-SCREW ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 01 K +HK +W +HW +HV +T +T.A 10.1991 - 08.1993 66901 6690106J12 FINISHER-DASH SIDE,LH FINISHER-DASH ﺟﺎﻧﺒﻲLH 01 TB42S.MT.F5 +TD42 (A) 66901 6690106J10 FINISHER-DASH SIDE,LH"
66940-06J00,Cover,general,"1988,1989,1990,1991,1992,1993",TD42,97,مدقق آليًا بدرجة عالية,10,7,01 K.TD42 +K.SGL +W.TD42.GL +W.SGL +(HW+HV).TD42 10.1991 - 08.1993 66920 6694006J00 COVER ﻏﻄﺎء 01 K +HK +W +HW +HV +T +T.A (C) 66920 6694006J01 COVER
66940-06J01,Cover,general,"1988,1989,1990,1991,1992,1993","RB30S,TB42S",97,مدقق آليًا بدرجة عالية,10,7,66920 6694006J00 COVER ﻏﻄﺎء 01 K +HK +W +HW +HV +T +T.A (C) 66920 6694006J01 COVER ﻏﻄﺎء 01 K +HK +W +HW +HV +T +T.A (K) 66920 6694006J02 COVER
66940-06J02,Cover,general,"1991,1992,1993",,72,مدقق آليًا,6,4,66920 6694006J01 COVER ﻏﻄﺎء 01 K +HK +W +HW +HV +T +T.A (K) 66920 6694006J02 COVER ﻏﻄﺎء 01 K +HK +W +HW +HV +T +T.A (A) 0836361638 0836361638
66990-06J00,"Bracket-Dash Side Finisher,Front",body,"1988,1989,1990,1991",,75,مدقق آليًا,4,4,"0851061223 ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 66990M 6699006J00 BRACKET-DASH SIDE FINISHER,FRONT ﺣﺎﻣﻞ 01"
66990-32J00,Bracket-Dash Side,body,"1988,1989,1990,1991,1992,1993",,92,مدقق آليًا بدرجة عالية,10,7,"01 K +HK +W +HW +HV +T +T.A 10.1991 - 08.1993 089111062G 089111062G ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 66990M 6699032J00 BRACKET-DASH SIDE FINISHER,FRONT ﺣﺎﻣﻞDASH ﺟﺎﻧﺒﻲFINISHER,أﻣﺎﻣﻲ 01 K +HK +W +HW +HV +T +T.A RH"
66992-06J00,Bracket-Dash Side,body,"1988,1989,1990,1991,1992,1993",,92,مدقق آليًا بدرجة عالية,10,7,"67900E 0155305321 CLIP-DASH ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 09 K +HK +W +HW +HV +T +T.A 10.1991 - 08.1993 66992 6699206J00 BRACKET-DASH SIDE FINISHER,RH ﺣﺎﻣﻞDASH ﺟﺎﻧﺒﻲFINISHER,RH 01 K +HK +W +HW +HV +T +T.A 10.1991 - 08.1993"
66993-06J00,Bracket-Dash Side,body,"1988,1989,1990,1991,1992,1993","TB42S,TD42",97,مدقق آليًا بدرجة عالية,10,7,"66901 6690106J11 FINISHER-DASH SIDE,LH FINISHER-DASH ﺟﺎﻧﺒﻲLH 01 TB42S.MT.F5 +TD42 (K) 66993 6699306J00 BRACKET-DASH SIDE FINISHER,LH ﺣﺎﻣﻞDASH ﺟﺎﻧﺒﻲFINISHER,LH 01 K +HK +W +HW +HV +T +T.A 10.1991 - 08.1993"
67300-01J30,Dash Compl-Lower,general,"1988,1989,1990,1991",,75,مدقق آليًا,4,4,Specifications ﺍﻟﻤﻮﺍﺻﻔﺎﺕ 67300 6730001J30 DASH COMPL-LOWER ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 01
67300-32J00,Dash Compl-Lower,general,"1988,1989,1990,1991",,80,مدقق آليًا,4,4,K.2P +K.5P +W.5P +W.6P +HW.5P 08.1987 - 10.1991 67300 6730032J00 DASH COMPL-LOWER ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 01
67300-34J00,Dash Compl-Lower,general,"1991,1992,1993",,77,مدقق آليًا,6,4,اﻟﺘﻄﺒﻴﻖ Specifications اﻟﻤﻮاﺻﻔﺎت 67300 6730034J00 DASH COMPL-LOWER DASH COMPL-ﺳﻔﻠﻲ 01 K +HK +W +HW +HV 10.1991 - 08.1993
67356-01J01,Insulator-Dash Lower,general,"1988,1989,1990,1991",,80,مدقق آليًا,4,4,K.2P +K.5P +W.5P +W.6P +HW.5P 08.1987 - 10.1991 67900N 6735601J01 INSULATOR-DASH LOWER ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 01
67356-06J01,Insulator-Dash Lower,body,"1991,1992,1993",,77,مدقق آليًا,6,4,اﻟﺘﻄﺒﻴﻖ Specifications اﻟﻤﻮاﺻﻔﺎت 67900N 6735606J01 INSULATOR-DASH LOWER INSULATOR-DASH ﺳﻔﻠﻲ 01 K +HK +W +HW +HV 10.1991 - 08.1993 67815M 6762006J00 BRACKET-INSTRUMENT
67620-06J00,Bracket-Instrument,body,"1988,1989,1990,1991,1992,1993",,92,مدقق آليًا بدرجة عالية,10,7,67900N 6735606J01 INSULATOR-DASH LOWER INSULATOR-DASH ﺳﻔﻠﻲ 01 K +HK +W +HW +HV 10.1991 - 08.1993 67815M 6762006J00 BRACKET-INSTRUMENT MOUNTING SIDE RH 01 K +HK +W +HW +HV +T +T.A 10.1991 - 08.1993
67621-06J00,Bracket-Instrument,body,"1988,1989,1990,1991,1992,1993",,87,مدقق آليًا بدرجة عالية,10,7,Specifications اﻟﻤﻮاﺻﻔﺎت DX+GL) 67815N 6762106J00 BRACKET-INSTRUMENT MOUNTING SIDE LH ﺣﺎﻣﻞINSTRUMENT MOUNTING ﺟﺎﻧﺒﻲLH
67840-06J01,Bracket-Footrest Driver,body,"1991,1992,1993",,77,مدقق آليًا,6,4,ﺣﺎﻣﻞINSTRUMENT MOUNTING ﺟﺎﻧﺒﻲLH 01 K +HK +W +HW +HV +T +T.A 10.1991 - 08.1993 67140M 6784006J01 BRACKET-FOOTREST DRIVER ﺣﺎﻣﻞFOOTREST DRIVER 01 *K.(DX+GL+SGL).MT.F5 +*W. (DX+GL+SGL).MT.F5 +*HW.
67900-01J00,"Insulator-Dash,Center",general,"1988,1989,1990,1991",,80,مدقق آليًا,4,4,"+HW.5P.MT.F5 (K) | 09.1990 - 07.1991 67905 6790001J00 INSULATOR-DASH,CENTER ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 01"
67900-07J00,"Insulator-Dash,Center",general,"1988,1989,1990,1991","RB30S,TB42S",85,مدقق آليًا بدرجة عالية,4,4,"2S.S.(TB42S+RB30S) +2S.B.(TB42S+RB30S) 09.1988 - 10.1991 67905 6790007J00 INSULATOR-DASH,CENTER ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 01"
67900-34J00,"Insulator-Dash,Center",cooling,"1991,1992,1993",TD42,77,مدقق آليًا,6,4,"+*W.2S/S.3S/F.TD42.AD+*W.TD42. DX+*HW.2S/B.TD42.DX F/REAR COOLER 67905 6790034J00 INSULATOR-DASH,CENTER ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 01 K.TD42 +K.SGL +W.TD42.GL +W.SGL +(HW+HV).TD42"
67900-34J10,"Insulator-Dash,Center",general,"1991,1992,1993","TB42S,TD42",77,مدقق آليًا,6,4,"66900E 0155305181 CLIP ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 03 TB42S.MT.F5 +TD42 (C) 67905 6790034J10 INSULATOR-DASH,CENTER ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 01 *W.TB42S.GR +*W.2S/S.3S/F.TD42.AD+*W.TD42."
68100-01J00,Panel-Instrument,body,"1991,1992,1993",,72,مدقق آليًا,6,4,68100 6810001J01 PANEL-INSTRUMENT ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 01 K +HK +W +HW +HV +T +T.A (K) 68100 6810001J00 PANEL-INSTRUMENT ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 01 K +HK +W +HW +HV +T +T.A (C) 68620 6852003J01 LID-GLOVE BOX
68100-01J01,Panel-Instrument,body,"1991,1992,1993",,72,مدقق آليًا,6,4,اﻟﺘﻄﺒﻴﻖ Specifications اﻟﻤﻮاﺻﻔﺎت 68100 6810001J01 PANEL-INSTRUMENT ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 01 K +HK +W +HW +HV +T +T.A (K) 68100 6810001J00 PANEL-INSTRUMENT
68100-05J00,Panel-Instrument,body,"1988,1989,1990,1991",,80,مدقق آليًا,4,4,K.2P +K.5P +W.5P +W.6P +HW.5P 08.1987 - 10.1991 68100 6810005J00 PANEL-INSTRUMENT ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 01
68100-05J01,Panel-Instrument,body,"1988,1989,1990,1991",,80,مدقق آليًا,4,4,K.2P +K.5P +W.5P +W.6P +HW.5P (C) | 08.1987 - 10.1991 68100 6810005J01 PANEL-INSTRUMENT ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 01
68100-36J02,Panel-Instrument,body,"1991,1992,1993",,77,مدقق آليًا,6,4,68100A 0145400181 SCREW ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 09 K +HK +W +HW +HV +T +T.A 10.1991 - 08.1993 68100 6810036J02 PANEL-INSTRUMENT ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 01 K +HK +W +HW +HV +T +T.A (A)
68110-05J00,"Member Assy-Instrument,Lower",interior,"1988,1989,1990,1991",,80,مدقق آليًا,4,4,"(K+W).STD 08.1987 - 10.1991 68103 6811005J00 MEMBER ASSY-INSTRUMENT,LOWER INSTRUMENT,LOWER 01"
68210-01J00,Pad Assy-Instrument,brake,"1991,1992,1993",,72,مدقق آليًا,6,4,68210 6821001J01 PAD ASSY-INSTRUMENT PAD ﻣﺠﻤﻮﻋﺔINSTRUMENT 01 K +HK +W +HW +HV +T +T.A (K) 68210 6821001J00 PAD ASSY-INSTRUMENT PAD ﻣﺠﻤﻮﻋﺔINSTRUMENT 01 K +HK +W +HW +HV +T +T.A (C)
68210-01J01,Pad Assy-Instrument,brake,"1991,1992,1993",,72,مدقق آليًا,6,4,اﻟﺘﻄﺒﻴﻖ Specifications اﻟﻤﻮاﺻﻔﺎت 68210 6821001J01 PAD ASSY-INSTRUMENT PAD ﻣﺠﻤﻮﻋﺔINSTRUMENT 01 K +HK +W +HW +HV +T +T.A (K) 68210 6821001J00 PAD ASSY-INSTRUMENT
68210-05J00,Pad Assy-Instrument,brake,"1988,1989,1990,1991",,75,مدقق آليًا,4,4,Specifications ﺍﻟﻤﻮﺍﺻﻔﺎﺕ 68210 6821005J00 PAD ASSY-INSTRUMENT INSTRUMENT 01
68210-05J01,Pad Assy-Instrument,brake,"1988,1989,1990,1991",,80,مدقق آليًا,4,4,K.2P +K.5P +W.5P +W.6P +HW.5P (C) | 08.1987 - 10.1991 68210 6821005J01 PAD ASSY-INSTRUMENT INSTRUMENT 01
68210-36J02,Pad Assy-Instrument,cooling,"1991,1992,1993",,72,مدقق آليًا,6,4,اﻟﺘﻄﺒﻴﻖ Specifications اﻟﻤﻮاﺻﻔﺎت 68210 6821036J02 PAD ASSY-INSTRUMENT PAD ﻣﺠﻤﻮﻋﺔINSTRUMENT 01 K +HK +W +HW +HV +T +T.A (A) 27590M 2759067L60 SHUTTER ASSY-COOLER BOX
68240-01J00,Lid-Cluster,general,"1988,1989,1990,1991,1992,1993",,92,مدقق آليًا بدرجة عالية,10,7,04 K +HK +W +HW +HV +T +T.A (K) 0891110637 0891110637 ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 68420 6824001J00 LID-CLUSTER ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 01 K +HK +W +HW +HV +T +T.A (C) 68420 6824001J01 LID-CLUSTER
